fee_key_type,exact_contract,root,exchange,fee_component,fee_basis,fee_rate,fee_currency,fee_unit,charge_side,effective_from,effective_until,source,source_quality,notes,verified
root,,CO,,exchange,per_contract,0.28,USD,per_contract_side,both,1900-01-01,2999-12-31,"ICE Futures Europe, December 2025 Exchange and Clearing Fee Schedule",official exchange fee schedule,"Fixed research calibration applied across the empirical sample; exchange component separately identified.",TRUE
root,,CO,,clearing,per_contract,0.60,USD,per_contract_side,both,1900-01-01,2999-12-31,"ICE Futures Europe, December 2025 Exchange and Clearing Fee Schedule",official exchange fee schedule,"Fixed research calibration applied across the empirical sample; clearing component separately identified.",TRUE
root,,QS,,exchange,per_contract,0.28,USD,per_contract_side,both,1900-01-01,2999-12-31,"ICE Futures Europe, December 2025 Exchange and Clearing Fee Schedule",official exchange fee schedule,"Fixed research calibration applied across the empirical sample; exchange component separately identified.",TRUE
root,,QS,,clearing,per_contract,0.60,USD,per_contract_side,both,1900-01-01,2999-12-31,"ICE Futures Europe, December 2025 Exchange and Clearing Fee Schedule",official exchange fee schedule,"Fixed research calibration applied across the empirical sample; clearing component separately identified.",TRUE
root,,EN,,exchange,per_contract,0.28,USD,per_contract_side,both,1900-01-01,2999-12-31,"ICE Futures Europe, December 2025 Exchange and Clearing Fee Schedule",official exchange fee schedule,"Fixed research calibration applied across the empirical sample; exchange component separately identified.",TRUE
root,,EN,,clearing,per_contract,0.60,USD,per_contract_side,both,1900-01-01,2999-12-31,"ICE Futures Europe, December 2025 Exchange and Clearing Fee Schedule",official exchange fee schedule,"Fixed research calibration applied across the empirical sample; clearing component separately identified.",TRUE
root,,FN,,exchange,per_contract,0.32,GBP,per_contract_side,both,1900-01-01,2999-12-31,"ICE Futures Europe, December 2025 Exchange and Clearing Fee Schedule",official exchange fee schedule,"Fixed research calibration applied across the empirical sample; exchange component separately identified.",TRUE
root,,FN,,clearing,per_contract,0.68,GBP,per_contract_side,both,1900-01-01,2999-12-31,"ICE Futures Europe, December 2025 Exchange and Clearing Fee Schedule",official exchange fee schedule,"Fixed research calibration applied across the empirical sample; clearing component separately identified.",TRUE
root,,TZT,,exchange,per_physical_unit,0.00113,EUR,currency_per_MWh_per_side,both,1900-01-01,2999-12-31,"ICE Futures Europe Exchange and Clearing Fee Schedule",official exchange fee schedule,"Exact contract-month ContractQuantity in MWh is authoritative; exchange component separately identified.",TRUE
root,,TZT,,clearing,per_physical_unit,0.00262,EUR,currency_per_MWh_per_side,both,1900-01-01,2999-12-31,"ICE Futures Europe Exchange and Clearing Fee Schedule",official exchange fee schedule,"Exact contract-month ContractQuantity in MWh is authoritative; clearing component separately identified.",TRUE
root,,CL,,combined_exchange_clearing,per_contract,1.50,USD,per_contract_side,both,1900-01-01,2999-12-31,"Official NYMEX/COMEX Fee Schedule effective 1 March 2026",official exchange fee schedule,"Published non-member Globex contract charge held constant as a research calibration; no arbitrary exchange/clearing split.",TRUE
root,,HO,,combined_exchange_clearing,per_contract,1.50,USD,per_contract_side,both,1900-01-01,2999-12-31,"Official NYMEX/COMEX Fee Schedule effective 1 March 2026",official exchange fee schedule,"Published non-member Globex contract charge held constant as a research calibration; no arbitrary exchange/clearing split.",TRUE
root,,XB,,combined_exchange_clearing,per_contract,1.50,USD,per_contract_side,both,1900-01-01,2999-12-31,"Official NYMEX/COMEX Fee Schedule effective 1 March 2026",official exchange fee schedule,"Published non-member Globex contract charge held constant as a research calibration; no arbitrary exchange/clearing split.",TRUE
root,,NG,,combined_exchange_clearing,per_contract,1.60,USD,per_contract_side,both,1900-01-01,2999-12-31,"Official NYMEX/COMEX Fee Schedule effective 1 March 2026",official exchange fee schedule,"Published non-member Globex contract charge held constant as a research calibration; no arbitrary exchange/clearing split.",TRUE
root,,OQA,,combined_exchange_clearing,per_contract,1.40,USD,per_contract_side,both,1900-01-01,2999-12-31,"GME/DME member notice aligning the non-member OQD trading fee to USD 1.40 per lot",official exchange member notice,"Combined published charge retained unsplit because no separately verified clearing decomposition was supplied.",TRUE
root,,BIT,,combined_exchange_clearing,transaction_notional,0.00005,CNY,decimal_fraction_of_transaction_notional,both,1900-01-01,2999-12-31,"Official 2025 SHFE fee information for bitumen",official exchange fee information,"0.05 per mille (0.005 percent) of turnover; applied to buys and sells; no fabricated clearing split.",TRUE
root,,U6,,combined_exchange_clearing,transaction_notional,0.000021,INR,decimal_fraction_of_transaction_notional,both,2024-10-01,2999-12-31,"MCX Circular MCX/F&A/631/2024 dated 2024-09-24",official exchange circular preserved in MCX corporate filing,"INR 2.10 per INR 100,000 futures turnover from 2024-10-01; zero additional clearing; taxes, GST, CTT and stamp duty excluded.",TRUE
root,,ZS,,combined_exchange_clearing,transaction_notional,0.000021,INR,decimal_fraction_of_transaction_notional,both,2024-10-01,2999-12-31,"MCX Circular MCX/F&A/631/2024 dated 2024-09-24",official exchange circular preserved in MCX corporate filing,"INR 2.10 per INR 100,000 futures turnover from 2024-10-01; zero additional clearing; taxes, GST, CTT and stamp duty excluded.",TRUE
