input_name,licensed_or_public,provider_source,redistributed_in_repo,expected_path,required_schema,pipeline_stage,notes
one_minute_market_quotes,LICENSED_NOT_REDISTRIBUTED,Bloomberg Professional,FALSE,DISSERTATION_DATA_ROOT/market_quotes.csv,timestamp;generic;contract;bid;ask;close,01_data_contracts_chronology,One-minute exact-contract bid/ask observations; close is diagnostic only.
candidate_pair_universe,PUBLIC_CONFIGURATION,Repository author,TRUE,data/ancillary/candidate_pairs_78.csv,pair_id;y_generic;x_generic,01_data_contracts_chronology,Included deterministic orientation for all 78 unordered pairs; an identically schemed local override is accepted.
exact_contract_lifecycle,LICENSED_NOT_REDISTRIBUTED,Bloomberg Professional,FALSE,DISSERTATION_DATA_ROOT/contract_lifecycle.csv,generic;contract;delivery_month;first_trade_date;last_trade_date,01_data_contracts_chronology,Required for the earlier-last-trade-minus-five-weekdays synchronous roll.
exact_contract_identifier_manifest,PUBLIC_IDENTIFIER_MANIFEST,Final validated 208-row contract-specification snapshot,TRUE,data/ancillary/exact_contract_manifest.csv,generic_root;generic;exact_contract_identifier;source_alias_identifier;delivery_month;delivery_year;canonical_product_name;venue,01_data_contracts_chronology,Identifier-only list for the final 13 roots and 16 delivery months each; licensed lifecycle monetary and price observations are excluded.
exact_contract_monetary_metadata,LICENSED_NOT_REDISTRIBUTED,Bloomberg Professional,FALSE,DISSERTATION_DATA_ROOT/contract_specs.csv,See data/README.md,02_gaussian_economics_and_selection,Licensed delivery-month quantities/ticks/currencies are not redistributed; the corresponding identifier-only universe is separately public.
bfix_fixings,LICENSED_NOT_REDISTRIBUTED,Bloomberg BFIX,FALSE,DISSERTATION_DATA_ROOT/bfix.xlsx,See data/README.md,02_gaussian_economics_and_08_backtest,EUR GBP CNY INR against USD using the causal no-later-than convention.
date_expanded_session_intervals,RECONSTRUCTED_FROM_PUBLIC_SOURCES,Exchange session and holiday sources,FALSE,DISSERTATION_DATA_ROOT/session_intervals.csv,contract;session_id;open_timestamp;close_timestamp;admissible,01_data_contracts_chronology,The included product-level metadata supplies regular sessions/breaks and source URLs but the exact empirical date-expanded holiday table was not preserved; see the session-reconstruction requirements in data/README.md and docs/DATA_ACQUISITION.md
market_session_metadata,PUBLIC_ANCILLARY,Official exchange/product and holiday pages,TRUE,data/ancillary/market_sessions_13_products.json,JSON product session metadata,01_data_contracts_chronology,Filtered to the final 13 products; contains named zones regular hours scheduled breaks and holiday-calendar sources.
fee_schedule,PUBLIC_ANCILLARY,Official exchange schedules and retained calibration references,TRUE,data/ancillary/fees.csv,Long-form fee schema in data/README.md,02_gaussian_economics_and_08_backtest,Actual calibrated table; all enabled rows are verified including MCX U6/ZS against Circular MCX/F&A/631/2024.
fee_schedule_provenance,PUBLIC_ANCILLARY,Project source records,TRUE,data/ancillary/fee_schedule_provenance.csv,CSV provenance ledger,data_availability,Records sources units transformations dates and unresolved source status.
product_universe,PUBLIC_CONFIGURATION,Dissertation methodology and authoritative project configuration,TRUE,data/ancillary/product_universe_13.csv,CSV root-level universe,all_stages,Root-level public summary only; no licensed exact-contract observations.
synthetic_quotes,SYNTHETIC_TEST_FIXTURE,Repository author,TRUE,data/sample/tiny_quotes.csv,Synthetic quote schema,smoke_tests,Cannot reproduce empirical estimates.
